# room_id name row col
1 OFFICE_LEFT1 1 1
1 OFFICE_LEFT1 1 2
1 OFFICE_LEFT1 1 3
1 OFFICE_LEFT1 1 4
1 OFFICE_LEFT1 1 5
1 OFFICE_LEFT1 1 6
1 OFFICE_LEFT1 1 7
1 OFFICE_LEFT1 1 8
1 OFFICE_LEFT1 1 9
1 OFFICE_LEFT1 1 10
1 OFFICE_LEFT1 1 11
1 OFFICE_LEFT1 1 12
1 OFFICE_LEFT1 1 13
1 OFFICE_LEFT1 1 14
1 OFFICE_LEFT1 1 15
1 OFFICE_LEFT1 1 16
1 OFFICE_LEFT1 1 17
1 OFFICE_LEFT1 1 18
1 OFFICE_LEFT1 1 19
1 OFFICE_LEFT1 1 20
1 OFFICE_LEFT1 2 1
1 OFFICE_LEFT1 2 2
1 OFFICE_LEFT1 2 3
1 OFFICE_LEFT1 2 4
1 OFFICE_LEFT1 2 5
1 OFFICE_LEFT1 2 6
1 OFFICE_LEFT1 2 7
1 OFFICE_LEFT1 2 8
1 OFFICE_LEFT1 2 9
1 OFFICE_LEFT1 2 10
1 OFFICE_LEFT1 2 11
1 OFFICE_LEFT1 2 12
1 OFFICE_LEFT1 2 13
1 OFFICE_LEFT1 2 14
1 OFFICE_LEFT1 2 15
1 OFFICE_LEFT1 2 16
1 OFFICE_LEFT1 2 17
1 OFFICE_LEFT1 2 18
1 OFFICE_LEFT1 2 19
1 OFFICE_LEFT1 2 20
1 OFFICE_LEFT1 3 1
1 OFFICE_LEFT1 3 2
1 OFFICE_LEFT1 3 3
1 OFFICE_LEFT1 3 4
1 OFFICE_LEFT1 3 5
1 OFFICE_LEFT1 3 6
1 OFFICE_LEFT1 3 7
1 OFFICE_LEFT1 3 8
1 OFFICE_LEFT1 3 9
1 OFFICE_LEFT1 3 10
1 OFFICE_LEFT1 3 11
1 OFFICE_LEFT1 3 12
1 OFFICE_LEFT1 3 13
1 OFFICE_LEFT1 3 14
1 OFFICE_LEFT1 3 15
1 OFFICE_LEFT1 3 16
1 OFFICE_LEFT1 3 17
1 OFFICE_LEFT1 3 18
1 OFFICE_LEFT1 3 19
1 OFFICE_LEFT1 3 20
1 OFFICE_LEFT1 4 1
1 OFFICE_LEFT1 4 2
1 OFFICE_LEFT1 4 3
1 OFFICE_LEFT1 4 4
1 OFFICE_LEFT1 4 5
1 OFFICE_LEFT1 4 6
1 OFFICE_LEFT1 4 7
